plot,idcoral,species,log_diam_2015,log_diam_2018,survive
iui5_1,1,plat,2.233235015,2.314513664,1
iui5_1,2,plat,2.132982309,2.318458442,1
iui5_1,3,plat,2.199444334,2.33408376,1
iui5_1,4,plat,2.729811693,2.737609003,1
iui5_1,5,plat,2.33698652,2.521720623,1
iui5_1,6,plat,2.116255515,2.338917022,1
iui5_1,7,plat,3.614963771,3.664586762,1
iui5_1,8,plat,2.276241118,2.426571073,1
iui5_1,9,plat,3.272606147,3.333988632,1
iui5_1,10,plat,1.294727168,1.458615023,1
iui5_1,11,plat,2.338917022,1.968509981,1
iui5_1,12,plat,1.650579856,1.796747011,1
iui5_1,13,plat,2.754933787,2.999724295,1
iui5_1,14,dip,2.05284086,2.109000344,1
iui5_1,15,dip,1.808288771,1.826160896,1
iui5_1,16,dip,1.665818246,1.720979287,1
iui5_1,17,dip,2.839078464,2.890927159,1
iui5_1,18,dip,1.427916036,1.512927012,1
iui5_1,19,dip,1.358409158,1.745715531,1
iui5_1,20,dip,2.668616132,2.749831735,1
iui5_1,21,dip,2.254444718,2.029463172,1
iui5_1,22,dip,2.280339484,2.339880878,1
iui5_1,23,dip,2.341805806,2.437115986,1
iui5_1,24,dip,1.754403683,1.880990603,1
iui5_1,25,dip,1.835776355,1.680827909,1
iui5_1,26,dip,2.02287119,2.008214032,1
iui5_1,27,dip,2.125847914,2.38416508,1
iui5_1,28,dip,1.272565596,1.483874689,1
iui5_1,29,dip,2.069391206,2.045108863,1
iui5_1,30,dip,2.204972264,2.372111156,1
iui5_2,31,plat,1.888583654,2.14710019,1
iui5_2,32,dip,1.740466175,1.979621206,1
iui5_2,33,dip,2.392425797,2.613739522,1
iui5_2,34,dip,2.608598122,2.758743315,1
iui5_2,35,dip,1.497388409,1.743968805,1
iui5_2,36,dip,2.07819076,1.971299383,1
iui5_2,37,dip,1.74745921,1.965712776,1
iui5_2,38,dip,1.249901736,1.486139696,1
iui5_2,39,dip,1.32972401,1.62924054,1
iui5_2,40,dip,2.692598097,2.920469789,1
iui5_2,41,dip,2.625392967,2.879760097,1
iui5_2,42,dip,2.625392967,2.690564887,1
iui5_2,43,dip,2.843745917,2.920469789,1
iui5_2,44,dip,1.925707442,2.104134154,1
iui5_2,45,dip,2.424802726,2.593761055,1
iui5_2,46,dip,2.16791019,2.512035317,1
iui5_2,47,dip,1.280933845,1.324418957,1
iui5_2,48,dip,1.829376333,2.132982309,1
iui5_2,49,dip,2.382320061,2.520917087,1
iui5_2,50,dip,1.925707442,2.09679018,1
iui5_2,51,dip,3.039749159,3.130263167,1
iui5_2,52,dip,1.989243274,2.212660385,1
iui5_3,53,plat,1.036736885,1.255616037,1
iui5_3,54,plat,2.77695418,2.885917408,1
iui5_3,55,plat,2.158714723,1.848454813,1
iui5_3,56,plat,1.470175845,1.913977102,1
iui5_3,57,plat,1.798404012,1.764730797,1
iui5_3,58,plat,2.853015971,3.003700443,1
iui5_3,59,plat,3.57682995,3.60114054,1
iui5_3,60,plat,1.623340818,1.961502244,1
iui5_3,61,dip,1.432700734,1.413423029,1
iui5_3,62,dip,1.979621206,2.144761008,1
iui5_3,63,dip,2.09679018,2.188295947,1
iui5_3,64,dip,0.693147181,0.875468737,1
iui5_3,65,dip,1.877937165,1.778336449,1
iui5_3,66,dip,1.961502244,2.063058062,1
iui5_3,67,dip,2.012232792,1.994700313,1
iui5_3,68,dip,1.736951233,1.912501087,1
iui5_3,69,dip,2.768831673,2.874693945,1
iui5_3,70,dip,2.125847914,2.091864062,1
iui5_3,71,dip,1.217875709,1.2753628,1
iui5_3,72,dip,1.89009537,2.085672091,1
iui5_3,73,dip,2.382320061,2.591516385,1
iui5_3,74,dip,2.063058062,2.246014742,1
iui5_3,75,dip,2.801540544,3.024805521,1
iui5_3,76,dip,2.251291799,2.376764491,1
iui5_3,77,dip,1.83736998,2.247072383,1
iui5_3,78,dip,2.880321422,2.935982269,1
iui5_3,79,dip,1.998773639,2.018895042,1
iui5_3,80,dip,2.012232792,2.144761008,1
iui5_3,81,dip,1.358409158,1.388791241,1
iui5_3,82,dip,1.508511994,1.190887565,1
iui5_3,83,dip,0.819779831,1.289232648,1
iui5_3,84,dip,2.577181926,2.745345986,1
iui5_3,85,dip,2.075684493,2.218115936,1
iui5_3,86,dip,2.259677592,2.451866796,1
iui5_3,87,dip,2.513656063,2.68716699,1
iui5_3,88,dip,2.438862711,2.618125494,1
iui5_3,89,dip,1.803358605,1.627277831,1
iui5_3,90,dip,1.669591835,1.658228077,1
iui5_3,91,dip,2.005525859,2.182674796,1
iui5_3,92,dip,0.698134722,1.593308531,1
iui5_3,93,dip,2.112634509,2.284421122,1
iui5_3,94,dip,2.968361077,3.065258336,1
iui5_3,95,dip,2.663052835,2.690564887,1
iui5_3,96,dip,1.223775432,1.541159072,1
iui5_4,97,plat,1.662030363,1.971299383,1
iui5_4,98,plat,2.428336298,2.584751985,1
iui5_4,99,plat,1.601405741,1.85629799,1
iui5_4,100,plat,0.854415328,1.715598108,1
iui5_4,101,plat,2.441477092,2.545531272,1
iui5_4,102,plat,1.521698998,1.508511994,1
iui5_4,103,plat,2.009555414,2.056684555,1
iui5_4,104,plat,2.361796953,2.469793012,1
iui5_4,105,plat,1.244154594,1.376244025,1
iui5_4,106,plat,2.42568729,2.641197894,1
iui5_4,107,plat,1.733423892,1.526056303,1
iui5_4,108,plat,2.318458442,2.512846018,1
iui5_4,109,plat,1.925707442,1.962907725,1
iui5_4,110,plat,2.162172939,1.763017,1
iui5_4,111,dip,1.564440547,1.842135677,1
iui5_4,112,dip,1.750937475,1.945910149,1
iui5_4,113,dip,2.438862711,2.364620484,1
iui5_4,114,dip,0.875468737,1.778336449,1
iui5_4,115,dip,1.526056303,1.644805056,1
iui5_4,116,dip,2.545531272,2.620311287,1
iui5_4,117,dip,2.182674796,2.231089091,1
iui5_4,118,dip,1.470175845,1.853168097,1
iui5_4,119,dip,0.916290732,1.553925203,1
iui5_4,120,dip,0.703097511,1.01523068,1
iui5_4,121,dip,0.90016135,1.337629189,1
iui5_4,122,dip,1.396244692,1.701105101,1
iui5_4,123,dip,1.986503546,2.037316615,1
iui5_4,124,dip,3.060114532,3.118834471,1
iui5_4,125,dip,1.311031877,1.648658626,1
iui5_4,126,dip,0.91228271,1.300191662,1
iui5_4,127,dip,1.272565596,1.470175845,1
iui5_4,128,dip,0.963174318,1.381281819,1
iui5_4,129,dip,1.040276712,1.319085611,1
iui5_4,130,dip,1.00795792,1.512927012,1
iui5_4,131,dip,1.854734268,1.943048917,1
iui5_4,132,dip,2.080690761,1.798404012,1
iui5_4,133,dip,1.534714366,1.418277407,1
