species,size_range,min,max,n,diameter_avg,diameter_sd,colony_percent,polyp_percent,polyp_percent_sd
plat,1.01-5.00,1.01,5,1,3,0,0,0,0
plat,5.01-9.00,5.01,9,10,7.85,1.05,80,14.32,9.59
plat,9.01-13.00,9.01,13,10,10.6,1.15,90,32.93,18.14
plat,13.01-17.00,13.01,17,10,15.41,1.16,100,46.84,23.27
plat,17.01-21.00,17.01,21,10,18.16,2.28,100,70.21,29.72
plat,21.01-25.00,21.01,25,10,22.33,1.06,100,93.75,9.82
plat,25.01-30.00,25.01,30,10,29.05,2.56,100,96.52,16.85
dip,1.01-5.00,1.01,5,8,2.91,0.63,37.5,18.75,9.38
dip,5.01-9.00,5.01,9,10,6.18,0.85,70,55.76,15.1
dip,9.01-13.00,9.01,13,8,10.69,1.48,75,63.33,25.82
dip,13.01-17.00,13.01,17,8,14.28,0.52,87.5,68.39,20.24
dip,17.01-21.00,17.01,21,8,18.53,0.92,100,75.02,11.07
dip,21.01-25.00,21.01,25,10,24.32,1.33,100,93.2,8.8
